guid,title,pubDate,description,link,media
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-relationship-with-family/articleshow/90293666.cms',b'Pisces Relationship with Family',"b'Thu, 17 Mar 2022 18:09:03 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90293666.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-relationship-with-family/articleshow/90293666.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-relationship-with-family/articleshow/90293666.cms',b'Pisces Relationship with Family',"b'Thu, 17 Mar 2022 18:09:03 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90293666.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-relationship-with-family/articleshow/90293666.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-relationship-with-family/articleshow/90293666.cms',b'Pisces Relationship with Family',"b'Thu, 17 Mar 2022 18:09:03 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90293666.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-relationship-with-family/articleshow/90293666.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-relationship-with-family/articleshow/90293666.cms',b'Pisces Relationship with Family',"b'Thu, 17 Mar 2022 18:09:03 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90293666.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-relationship-with-family/articleshow/90293666.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-love-marriage-and-sex-relationship-intro/articleshow/90293497.cms',"b'Pisces Love, Marriage and Sex Relationship - Intro'","b'Thu, 17 Mar 2022 18:05:18 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90293497.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-love-marriage-and-sex-relationship-intro/articleshow/90293497.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-love-marriage-and-sex-relationship-intro/articleshow/90293497.cms',"b'Pisces Love, Marriage and Sex Relationship - Intro'","b'Thu, 17 Mar 2022 18:05:18 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90293497.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-love-marriage-and-sex-relationship-intro/articleshow/90293497.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-love-marriage-and-sex-relationship-intro/articleshow/90293497.cms',"b'Pisces Love, Marriage and Sex Relationship - Intro'","b'Thu, 17 Mar 2022 18:05:18 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90293497.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-love-marriage-and-sex-relationship-intro/articleshow/90293497.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-love-marriage-and-sex-relationship-intro/articleshow/90293497.cms',"b'Pisces Love, Marriage and Sex Relationship - Intro'","b'Thu, 17 Mar 2022 18:05:18 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90293497.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-love-marriage-and-sex-relationship-intro/articleshow/90293497.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-love-marriage-and-sex-relationship-intro/articleshow/90293497.cms',"b'Pisces Love, Marriage and Sex Relationship - Intro'","b'Thu, 17 Mar 2022 18:05:18 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90293497.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-love-marriage-and-sex-relationship-intro/articleshow/90293497.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-relationship-with-friends/articleshow/90290703.cms',b'Pisces Relationship with Friends',"b'Thu, 17 Mar 2022 16:12:51 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90290703.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-relationship-with-friends/articleshow/90290703.cms',
